id,slug,old_words,new_words,first_120_chars
4825,selecting-the-perfect-insulated-door-for-your-garage,2981,751,"Choosing the right insulated garage door comes down to four things: the insulation type, the R-value, the door material,"
4826,the-environmental-benefits-of-an-insulated-garage-door,2810,731,An insulated garage door helps the environment in one main way: it reduces the energy your home wastes. A garage with a 
4827,the-ins-and-outs-of-insulated-garage-door-materials,3718,734,"Insulated garage doors come down to two core materials, polystyrene and polyurethane, wrapped in a skin of steel, wood, "
4828,the-secret-behind-energy-efficient-garage-doors,3168,743,"The secret behind energy-efficient garage doors is not one feature. It is a system: an insulated core, thermal breaks th"
4829,weatherproof-your-garage-insulations-role,3720,737,"Insulation is the backbone of a weatherproof garage. It slows heat from escaping in winter and pouring in during summer,"
4830,when-to-choose-insulated-garage-doors,3850,750,"Choose an insulated garage door when the garage is attached to your home, when living space sits above or beside it, whe"
4853,draft-free-living-the-importance-of-garage-door-seals,3450,759,"Garage door seals are what stand between your garage and every draft, puddle, leaf, and mouse that wants inside. Insulat"
4856,maximize-energy-savings-with-top-notch-weatherstripping,3452,766,"Weatherstripping cuts garage energy waste by closing the air gaps around your garage door, which are the paths that leak"
4857,seal-the-deal-choosing-the-right-garage-door-seals,3245,780,Choosing the right garage door seals means matching four different seal types to the four different gaps around your doo
4858,the-ins-and-outs-of-weatherstripping-for-your-garage-door,4408,821,"Weatherstripping for a garage door is a system of seals: a bottom seal against the floor, vinyl molding along the sides "
4859,thermal-breaks-the-unsung-heroes-of-garage-door-efficiency,3925,788,A thermal break is a strip of non-conductive material placed between the inner and outer steel skins of a garage door. W
4860,weatherstripping-materials-what-works-best-for-your-garage,3282,766,The best weatherstripping material for a garage depends on the job each seal does: durable rubber for the bottom seal th
4861,why-your-garage-door-deserves-high-quality-weatherstripping,4062,758,Your garage door deserves high-quality weatherstripping because the seals are what make every other part of the garage w
4879,best-liftmaster-garage-door-openers-2023,1428,737,"The LiftMaster openers we install most are the 84505R belt drive with built-in camera, the 84504R belt drive with batter"
4902,how-to-lubricate-garage-doors,2336,753,"Lubricating a garage door the right way means using a garage door rated lubricant, applying it to the hinges, rollers, s"
4913,the-benefits-of-adding-windows-to-your-garage-door,1204,751,"Adding windows to your garage door brings in natural light, upgrades curb appeal, and can raise how the whole front of y"
4914,the-pros-and-cons-of-automatic-vs-manual-garage-doors,1232,728,"Automatic garage doors win on convenience, security, and everyday practicality, which is why nearly every door we instal"
4915,top-5-reasons-to-insulate-your-garage-door,1135,762,"The top five reasons to insulate your garage door: it moderates the garage's temperature, it lowers the load on your hom"
4924,how-to-replace-garage-door-springs,6188,750,"Garage door springs should be replaced by a trained professional, not as a do-it-yourself project. The springs are wound"
4970,fixing-uneven-garage-doors-diy-guide,1402,759,"An uneven garage door usually comes from one of four causes: debris in the tracks, loose track hardware, worn rollers, o"
4972,garage-door-safety-the-importance-of-photo-cell-beams,1321,787,"Photo-cell beams, the small sensors near the floor on both sides of your garage door, are the most important safety devi"
4973,liftmasters-evolution-from-switches-to-siri-in-30-years,1209,701,"LiftMaster's last three decades track the whole arc of garage door technology: from remotes programmed by tiny switches,"
4974,protect-your-home-from-remote-theft,1160,778,"Protecting your home from garage remote theft comes down to a few habits: never leave a remote visible in a parked car, "
5034,upgrade-your-homes-style-with-a-new-garage-door,1360,743,"A new garage door changes the look of a house more than almost any single upgrade, because on many homes the door covers"
5040,twins-garage-doors-achieves-superpro-status,562,741,"Twins Garage Doors has earned Superpro status from Housecall Pro, a certification that recognizes home service companies"
5049,the-top-10-most-common-garage-door-problems,1730,795,"The ten most common garage door problems we see are broken springs, doors that will not open or close, misaligned photo "
5082,how-to-measure-for-a-new-garage-door,1640,750,"To measure for a new garage door you need five numbers: the width and height of the finished opening, the side room on e"
5150,low-headroom-garage-door-systems-mechanics-benefits,2890,752,Low-headroom garage door systems are hardware kits that let a sectional door operate in garages with very little space b
5151,garage-door-security-systems-rolling-codes-to-biometric-access,3045,721,"Garage door security has advanced from fixed code remotes that thieves could scan, to rolling codes that change with eve"
5152,custom-garage-door-design-materials-styles-integration,3328,729,"Custom garage door design comes down to three decisions: the material, the style, and how the door integrates with your "
