Group Name,Facebook URL,Primary City/Neighborhood,Geographic Coverage,Group Category,Public/Private,Approx Member Count,Recent Activity Level,Approx Posts/Week,Most Recent Post (as of check),Business Pages Can Join?,Business Promotion Allowed?,Promo Days/Restrictions,Admin Approval Required?,Recommendation Requests Allowed?,# Recent Home-Service Rec Posts,Garage-Door Posts Found,Competitor Activity Found,Relevant Admin/Moderator,Best Way to Participate,Direct-Promotion Potential,Referral-Partnership Potential,Overall Opportunity Score,Tier,Notes,Recommended Next Action
"Sun Prairie, Whats Happening Now (all Things)",https://www.facebook.com/groups/2056816484546177/,Sun Prairie,Sun Prairie/Waunakee/Madison/DeForest,Community/City,Public,19.1K,Very high,509,2026-07-06 (had new posts on check day),Personal profile (open),Limited to local businesses,"Respectful business posts allowed, not excessive",No (open group),Yes - frequent,Verify on join,Verify on join,Verify on join,"'As studio' +4 admins; Angel, Michelle (mods)",Post on the allowed day + answer recommendation requests,Medium (local only),Medium,86,Tier 1,Very active (120 posts/day). Local business services allowed if respectful/not spammy.,Join. Occasional helpful/value post + answer requests; keep business posts rare.
Dane County Neighbors Helping Neighbors,https://www.facebook.com/groups/daneconeighbors/,Dane County (Madison),All of Dane County,Community/City,Public,52.5K,Very high,167,2026-07-06 (had new posts on check day),Personal profile (open),No ads; recommendation replies OK,None,No (open group),Yes - frequent,Verify on join,Verify on join,Verify on join,"Dane County Neighbors, Paulo (admins); Marilyn, Marilyn Renee (mods)","Be the helpful local: answer requests, no ads",Low (answer requests only),Medium,82,Tier 2,Rule 6 bans ads/$ asks; keep-it-local rule. Recommendation & help requests are the norm.,Join. Answer garage-door and home-help requests fast; never post ads.
The OPEN Oregon WI Community Page,https://www.facebook.com/groups/CommunityofOregonWI/,Oregon,Oregon WI,Community/City,Public,20.1K,Very high,184,2026-07-06 (had new posts on check day),Personal profile (open),Limited to local businesses,Business ads only for Oregon-district/resident businesses,No (open group),Yes,Verify on join,Verify on join,Verify on join,Oregon Area Fire/EMS District +3 (admins),"Be the helpful local: answer requests, no ads",Medium (local only),Medium,81,Tier 2,"Large & active. Ads allowed only for Oregon-based businesses; Twins is Madison-based, so ask admins or stick to helpful replies.",Join. Answer requests; ask admins whether a Twins post qualifies (serves Oregon).
"Madison WI (Dane, Rock & Surrounding) Contractors & Handymen",https://www.facebook.com/groups/1869097190499622/,Madison / Dane / Rock,South-central WI,Recommendation/Referral,Public,715,Moderate,27,2026-07-06 (had new posts on check day),Personal profile (open),Limited to local businesses,None,No (open group),Yes - frequent,Verify on join,Verify on join,Verify on join,"Rodrigues Q., Rod (admins); Angela (mod)",Post on the allowed day + answer recommendation requests,Medium (local only),Medium,81,Tier 1,Purpose-built for finding contractors/handymen. Directly on-topic; newer/growing group. Competitors may also be present.,Join early. Answer garage-door requests; introduce Twins as a resource.
Cottage Grove Wisconsin Community Network,https://www.facebook.com/groups/4128226010778845/,Cottage Grove,Cottage Grove WI,Neighborhood/Subdivision,Public,1.1K,Moderate,37,2026-07-06 (had new posts on check day),Personal profile (open),Unknown (not shown in rules),None,No (open group),Yes,Verify on join,Verify on join,Verify on join,"Bart, Angela (admins)","Be the helpful local: answer requests, no ads",Unknown - verify on join,Low,79,Tier 2,WI Cottage Grove (verified - not the MN group). Active. No rules shown on About.,Join. Answer requests; confirm rules before promo.
Hill Farms Neighborhood Association - Madison,https://www.facebook.com/groups/hillfarms/,Madison (Hill Farms),Hill Farms - University,Neighborhood/Subdivision,Private,848,Moderate,44,2026-07-06 (had new posts on check day),Personal profile to join,Unknown (not shown in rules),None,Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,"Ryan, Brendon (admins); Tom (mod)","Be the helpful local: answer requests, no ads",Unknown - verify on join,Low,79,Tier 2,"Owner-occupied neighborhood, active. Rules on off-site code of conduct - confirm before promo.",Join. Answer neighbor requests; confirm promo rules.
"Wyndham Hills! (Sun Prairie, WI)",https://www.facebook.com/groups/WyndhamHillsSunPrairie/,Sun Prairie,Wyndham Hills subdivision,Neighborhood/Subdivision,Private,512,Low,1,2026-07-06 (had new posts on check day),Personal profile to join,Yes,"Business ads allowed, max once/month",Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,Celia (admin),Post on the allowed day + answer recommendation requests,High,Low,79,Tier 1,Subdivision of homeowners; Rule 3 allows a business ad once/month. Low activity but pure owner-occupied audience.,Join. Post your allowed monthly intro; answer neighbor requests.
"Waunakee, Can We Talk?",https://www.facebook.com/groups/2178366909090680/,Waunakee,Waunakee/Westport/Middleton,Community/City,Private,8.1K,Moderate,44,2026-07-06 (had new posts on check day),Personal profile to join,One intro post by admin request,New businesses: one intro post by mod request,Yes (request to join),Yes - frequent,Verify on join,Verify on join,Verify on join,Mike (admin); Alyssa +3 (mods),"Ask a mod for your one intro post, then answer requests",Low (intro by request),Medium,78,Tier 2,Ads prohibited but a single business intro post is allowed if you ask a mod first.,Join. Ask a mod for your one intro post; then answer requests helpfully.
"Sun Prairie, Can we Talk?",https://www.facebook.com/groups/1430035810643039/,Sun Prairie,Sun Prairie,Community/City,Private,8.1K,Moderate,24,2026-07-06 (had new posts on check day),Personal profile to join,Unknown (not shown in rules),None,Yes (request to join),Yes - frequent,Verify on join,Verify on join,Verify on join,"Joel, Michael (admins)","Be the helpful local: answer requests, no ads",Unknown - verify on join,Medium,77,Tier 2,'Can we talk' groups run heavy on recommendation requests. No rules shown - confirm on join.,Join. Answer recommendation requests; confirm rules before promo.
What's Happening in Sauk Prairie,https://www.facebook.com/groups/255242405048248/,Sauk City / Prairie du Sac,Sauk Prairie school district,Community/City,Public,23.7K,Very high,302,2026-07-06 (had new posts on check day),Personal profile (open),Limited to local businesses,In-district businesses may post once/day,No (open group),Yes,Verify on join,Verify on join,Verify on join,"Emily, Lisa (admins); Cortney +5 (mods)",Post on the allowed day + answer recommendation requests,Medium (local only),Medium,76,Tier 1,"Large and active. Ads limited to Sauk Prairie-district businesses, once/day. Twins serves the area.",Join. Post occasional local-business updates (once/day max); answer requests.
What's Happening Mazomanie,https://www.facebook.com/groups/759321267470679/,Mazomanie,Mazomanie / Black Earth,Community/City,Public,10.4K,Very high,176,2026-07-06 (had new posts on check day),Personal profile (open),Promo day only,Business posts once per week,No (open group),Yes,Verify on join,Verify on join,Verify on join,Melissa (admin); Jakob +4 (mods),Post on the allowed day + answer recommendation requests,Medium (promo day),Medium,76,Tier 1,Business advertising allowed once/week. Keep-it-local.,Join. Weekly business post allowed; answer local requests.
"Buy, Sell, Trade Madison/Fitchburg/Middleton/Verona/Sun Prairie",https://www.facebook.com/groups/1471577843110905/,Madison + suburbs,Madison metro,Recommendation/Referral,Private,9.6K,Very high,800,2026-07-06 (had new posts on check day),Yes (business Pages seen as members),Unknown (not shown in rules),None,Yes (request to join),Yes,Verify on join,Verify on join,Verify on join,"Leide, Iris (admins); Brian (mod)","Be the helpful local: answer requests, no ads",Unknown - verify on join,Low,76,Tier 2,Very active multi-city BST; recommendation posts appear. Business Pages seen as members.,Join. Answer recommendation posts; confirm rules before any listing.
