source,matching,destination,type,status
avante/,exact,https://twinsgaragedoors.com/clopay-avante/,301,active
classic-steel/,exact,https://twinsgaragedoors.com/clopay-classic-collection/,301,active
classic-wood/,exact,https://twinsgaragedoors.com/clopay-classic-wood/,301,active
modern-steel-ultra-grain-plank/,exact,https://twinsgaragedoors.com/clopay-modern-steel-ultra-grain-plank/,301,active
avante-sleek/,exact,https://twinsgaragedoors.com/clopay-avante-sleek/,301,active
reserve-wood-custom/,exact,https://twinsgaragedoors.com/clopay-reserve-wood-custom/,301,active
canyon-ridge-carriage-house-5-layer/,exact,https://twinsgaragedoors.com/clopay-canyon-ridge-carriage-house-5-layer/,301,active
coachman/,exact,https://twinsgaragedoors.com/clopay-coachman/,301,active
canyon-ridge-louver/,exact,https://twinsgaragedoors.com/clopay-canyon-ridge-louver/,301,active
vertistack-avante/,exact,https://twinsgaragedoors.com/clopay-vertistack-avante/,301,active
canyon-ridge-elements/,exact,https://twinsgaragedoors.com/clopay-canyon-ridge-elements/,301,active
canyon-ridge-modern/,exact,https://twinsgaragedoors.com/clopay-canyon-ridge-modern/,301,active
canyon-ridge-carriage-house-4-layer/,exact,https://twinsgaragedoors.com/clopay-canyon-ridge-carriage-house-4-layer/,301,active
gallery-steel/,exact,https://twinsgaragedoors.com/clopay-gallery-steel/,301,active
grand-harbor/,exact,https://twinsgaragedoors.com/clopay-grand-harbor/,301,active
reserve-wood-modern/,exact,https://twinsgaragedoors.com/clopay-reserve-wood-modern/,301,active
bridgeport-steel/,exact,https://twinsgaragedoors.com/clopay-bridgeport-steel/,301,active
